"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"27.09.2025";"11:00:00";"Samstag";"2004";"Spieltag 1";"Sportverein TU - Ilmenau";"SVV Weimar e.V. I";"Erfurter VC I";"Sportverein TU - Ilmenau";"Campus-Sporthalle (98693 Ilmenau)";"Campus-Sporthalle (98693 Ilmenau)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"01.11.2025";"11:00:00";"Samstag";"2015";"Spieltag 3";"SV - Wartburgstadt Eisenach I";"SVV Weimar e.V. I";"Sportverein TU - Ilmenau";"SV - Wartburgstadt Eisenach I";"SH Melanchthon-Gymnasium Gerstungen (99834 Gerstungen)";"SH Melanchthon-Gymnasium Gerstungen (99834 Gerstungen)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"15.11.2025";"11:00:00";"Samstag";"2023";"Spieltag 4";"Geraer VC I";"SVV Weimar e.V. I";"Erfurter VC I";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"22.11.2025";"11:00:00";"Samstag";"2025";"Spieltag 5";"Volleyball Club Gotha III";"SVV Weimar e.V. I";"Sportverein TU - Ilmenau";"Volleyball Club Gotha III";"SH Ernestinum (99867 Gotha)";"SH Ernestinum (99867 Gotha)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"29.11.2025";"14:00:00";"Samstag";"2030";"Spieltag 6";"SVV Weimar e.V. I";"SVC Nordhausen";"1. VSV Jena III";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"29.11.2025";"14:00:00";"Samstag";"2031";"Spieltag 6";"SVV Weimar e.V. I";"1. VSV Jena III";"SVC Nordhausen";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"06.12.2025";"11:00:00";"Samstag";"2038";"Spieltag 7";"VC Altenburg I";"SVV Weimar e.V. I";"Volleyball Club Gotha III";"VC Altenburg I";"Wenzelhalle (04600 Altenburg)";"Wenzelhalle (04600 Altenburg)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"13.12.2025";"14:00:00";"Samstag";"2046";"Spieltag 8";"SVV Weimar e.V. I";"SV - Wartburgstadt Eisenach I";"Erfurter VC I";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"13.12.2025";"14:00:00";"Samstag";"2047";"Spieltag 8";"SVV Weimar e.V. I";"Erfurter VC I";"SV - Wartburgstadt Eisenach I";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"24.01.2026";"11:00:00";"Samstag";"2054";"Spieltag 10";"1. VSV Jena III";"SVV Weimar e.V. I";"Sportverein TU - Ilmenau";"1. VSV Jena III";"Halle an der Trießnitz (07745 Jena)";"Halle an der Trießnitz (07745 Jena)";"-";"2025/26";"Thüringenliga Herren";"männlich";
"31.01.2026";"11:00:00";"Samstag";"2010";"Spieltag 2";"SVV Weimar e.V. I";"Erfurter VC I";"Schmalkalder Volleyballverein";"SVV Weimar e.V. I";"Sporthalle Nordstraße (99427 Weimar)";"Sporthalle Nordstraße (99427 Weimar)";"-";"2025/26";"Thüringenliga Herren";"männlich";
